CITIES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agartala,6,4,8,8,8,10,12,4,8,19
Agra,8,11,9,10,10,8,6,5,4,5
Ahmedabad,10,15,16,14,16,15,18,22,15,17
Aizwal,2,2,2,2,2,2,2,2,2,10
Ajmer,8,10,8,8,8,8,8,8,9,13
Allahabad,3,4,4,4,5,5,5,9,8,8
Amritsar,12,12,12,13,14,12,12,13,13,14
Andaman and Nicobar,2,2,2,2,2,2,2,2,2,2
Asansol,6,10,9,8,13,12,13,15,14,9
Bangalore,16,15,15,11,11,2,2,2,2,5
Begusarai,10,11,10,11,11,11,10,11,10,11
Bhopal,2,3,2,8,5,6,11,14,10,17
Bhubaneswar,2,2,2,2,4,2,2,2,2,2
Bilaspur,4,5,11,6,5,6,6,2,5,8
Bokaro,5,6,6,6,6,5,5,7,8,7
Buxar,5,5,5,5,5,5,5,5,5,5
Chandigarh,2,2,2,2,2,2,2,2,2,6
Chennai,6,19,19,16,13,13,14,14,13,11
Coimbatore,2,12,5,4,9,5,5,7,8,10
Cuttack,2,2,3,4,4,5,5,6,6,4
Dadar-Nagar Haveli,8,8,12,16,21,16,18,26,11,15
Daman & diu,8,8,10,14,19,15,26,25,10,15
Darbhanga,15,15,15,15,15,15,16,15,15,15
Dehradun,26,25,26,26,26,27,25,25,22,22
Delhi,4,5,8,9,11,10,8,5,8,10
Dhanbad,14,17,14,13,15,15,14,13,14,13
Dibugarh,4,7,6,7,8,7,6,5,5,6
Durgapur,13,10,9,8,14,12,13,15,13,19
Faridabad,8,15,16,17,17,16,17,13,11,10
Gandhinagar,8,7,8,7,7,8,8,8,9,9
Gaya,11,12,11,11,11,11,12,11,11,11
Ghaziabad,24,26,23,24,15,24,22,15,11,16
Gorakhpur,22,29,27,32,33,39,40,33,19,21
Gurgaon,9,2,6,6,6,7,7,8,6,6
Guwahati,5,7,7,8,8,7,8,7,6,26
Hajipur,5,5,5,5,5,5,5,5,5,5
Haldia,13,11,11,3,19,15,14,10,13,12
Hissar,5,7,9,8,7,6,10,10,10,12
Howrah,13,11,9,15,12,11,10,12,14,14
Hydrabad,5,7,7,5,5,6,6,5,5,6
Imphal,9,10,9,9,10,10,10,9,5,6
Indore,11,11,11,11,11,11,10,9,11,13
Jabalpur,2,2,2,16,19,18,10,13,13,13
Jaipur,6,8,8,8,8,8,8,7,9,10
Jammu,3,6,7,3,3,4,4,3,3,3
Jamshedpur,37,35,35,36,36,36,37,39,30,35
Jhansi,6,7,8,8,8,7,6,6,7,8
Jodhpur,5,5,8,7,7,7,7,7,6,7
Kanpur,6,14,12,8,8,10,8,8,12,12
Kochi,2,2,3,3,2,3,3,2,2,6
Kohima,2,2,2,2,2,2,2,2,2,2
Kolkata,21,12,20,24,6,21,8,11,8,9
Korba,11,13,13,12,12,11,10,8,8,8
Kota,5,7,7,6,7,10,7,7,6,9
Kurnool,4,4,4,5,5,5,5,5,6,6
Lakshadweep,2,2,2,2,2,2,2,2,2,2
Lucknow,7,7,8,8,8,9,9,8,8,9
Madurai,8,16,14,15,17,15,14,13,13,13
Manali,2,2,2,2,2,2,2,2,2,2
Mangalore,4,8,8,7,7,8,7,7,6,19
Mathura,21,20,21,16,15,10,10,13,10,12
Meerut,4,5,8,8,6,6,8,8,9,15
Meghalaya,2,2,2,2,2,2,6,2,2,3
Mirzapur,4,2,2,2,2,8,7,8,8,10
Mumbai,2,3,4,4,10,3,2,2,10,14
Muzaffarpur,10,10,10,10,10,11,14,8,8,6
Mysore,11,11,12,11,3,2,3,2,2,4
Nagpur,9,11,11,15,31,11,13,14,10,10
Nasik,21,28,25,16,13,12,12,12,6,4
Navi Mumbai,12,18,18,18,18,23,20,18,14,15
Panaji,9,7,3,5,4,4,6,3,2,2
Panipat,32,31,31,36,36,33,31,33,36,39
Pathankot,7,8,7,7,8,7,8,8,7,7
Patiala,7,6,5,5,5,5,5,5,7,6
Patna,3,7,8,4,5,7,7,4,3,8
Puducherry,10,7,5,6,6,5,4,5,3,7
Pune,14,20,24,21,36,20,38,46,14,26
Puri,2,2,2,2,4,2,2,2,2,2
Rae Bareli,11,11,15,14,12,11,14,31,33,26
Raipur,14,15,16,14,12,11,15,17,13,13
Rajkot,13,12,14,13,13,17,19,21,18,14
Ranchi,16,19,18,13,20,19,14,18,17,18
Rishikesh,22,23,24,25,23,22,21,22,13,20
Rourkela,5,5,6,13,12,21,14,12,7,9
Sambalpur,2,2,3,4,4,4,5,6,5,7
Shimla,1,2,3,5,5,3,4,2,2,2
Silachar,4,7,7,6,6,6,6,7,7,8
Siliguri,5,6,5,7,3,6,6,5,7,5
Srinagar,10,7,6,8,8,8,8,8,10,10
Surat,13,16,15,14,14,18,18,26,22,20
Thane,15,17,18,29,20,20,,21,21,11
Thiruvananathpuram,6,17,15,17,18,17,16,10,5,6
Tirupati,4,4,4,5,6,3,7,8,5,6
Ujjain,10,17,18,15,13,15,15,11,10,7
Vadodra,8,14,17,14,14,18,20,20,15,15
Varanasi,18,20,19,19,19,11,11,11,7,12
Vellore,11,11,11,12,11,13,11,13,11,13
Vishakhapatnam,13,19,18,11,10,10,12,9,9,12
Warangal,3,5,5,5,7,8,9,9,7,7
